date;close;volume;open;high;low
2011/10/31;184.63;4666046;185.59;186.91;184.63
2011/10/28;187.45;5008920;185.57;188.07;185.28
2011/10/27;185.88;6996223;184.99;187;183.18
2011/10/26;181.97;5386683;181.74;182.28;179.03
2011/10/25;180.36;5369029;181.66;182.97;180.01
2011/10/24;182.25;5889758;181.51;183.39;180.62
2011/10/21;181.63;8048556;179.11;181.67;178.75
2011/10/20;177.25;7512793;178.13;179.24;176.17
2011/10/19;177.39;6705035;179.68;179.81;177.01
2011/10/18;178.9;15714690;178;179.38;176.25
2011/10/17;186.59;8752994;189.71;190.16;185.9
2011/10/14;190.53;5365811;188.19;190.53;187.7314
2011/10/13;186.82;4397622;184.97;187.5;184.5
2011/10/12;186.12;5335661;186.08;188;185.65
2011/10/11;185;5330081;184.59;186;184.11
2011/10/10;186.62;5784141;183;186.63;182.9
2011/10/07;182.39;6839767;182.32;183.72;181.64
2011/10/06;181.69;7175400;176.81;181.99;175.66
2011/10/05;176.85;5850756;174.57;177.2961;172.68
2011/10/04;174.74;9148703;171.54;175.07;168.88
2011/10/03;173.29;9026902;174.36;177.92;173.04
2011/09/30;174.87;7807125;176.01;178.27;174.75
2011/09/29;179.17;6918410;179.69;180.91;175.53
2011/09/28;177.55;7731874;177.97;180.75;177.08
2011/09/27;177.71;7631873;176.82;179.62;176.43
2011/09/26;174.51;6741450;170.96;174.7;169.86
2011/09/23;169.34;5584989;166.99;169.54;165.76
2011/09/22;168.62;8190387;168.33;169.97;166.5
2011/09/21;173.02;7040774;175;177.67;172.62
2011/09/20;174.72;6203324;173.57;177.43;172.7
2011/09/19;173.13;4754514;169.5;173.87;169.43
2011/09/16;172.99;11047660;171.33;172.99;169.74
2011/09/15;170.09;5463433;168.64;170.16;167.23
2011/09/14;167.24;6980243;164.01;169.66;161.99
2011/09/13;163.43;4722540;163.64;163.92;161.54
2011/09/12;162.42;5246437;160.04;162.44;158.76
2011/09/09;161.37;6741104;164.57;165.19;160.81
2011/09/08;165.25;6026921;167;169.58;165.1
2011/09/07;167.31;6796585;167.28;167.9;166.16
2011/09/06;165.11;5760673;163.06;165.55;162.2
2011/09/02;166.98;4978111;167.69;168.93;166
2011/09/01;170.33;5463580;172.71;173.68;170.12
2011/08/31;171.91;6073729;173.29;173.72;170.71
2011/08/30;172.51;4476485;172.06;173.51;170.88
2011/08/29;172.62;5293217;170.58;172.72;170.36
2011/08/26;169.14;6437485;164.85;169.33;163.28
2011/08/25;165.58;6751596;167.52;168.53;164.85
2011/08/24;166.76;6426640;164.13;166.83;163.35
2011/08/23;164.32;6920877;160.65;164.59;159.53
2011/08/22;158.98;7248373;161.35;161.68;157.62
2011/08/19;157.54;14066790;162.17;163.94;157.13
2011/08/18;163.83;15079240;166.32;166.46;160.16
2011/08/17;171.48;5128882;171.57;172.99;169.89
2011/08/16;171.24;5576496;172.19;172.19;169
2011/08/15;172.99;7641558;171.32;174;170.39
2011/08/12;168.2;5186931;168.5;169.38;165.83
2011/08/11;166.73;9172307;164.1;168.77;162.94
2011/08/10;162.54;13990920;168.18;169.23;161.85
2011/08/09;170.61;12516900;167.46;171.05;162
2011/08/08;166.22;15800670;168.83;172.61;166
2011/08/05;172.98;11871330;172.1;174.22;166.52
2011/08/04;171.48;10931590;176.5;177.92;171.18
2011/08/03;178.83;6713109;177.67;179.23;175.41
2011/08/02;178.05;5734944;179.95;182.29;177.86
